,Unnamed: 0,category,message
198,3413.0,Drug/Narcotics,MAINTAINING PREMISE WHERE NARCOTICS ARE SOLD/USED
199,3487.0,Larceny/Theft,"BURGLARY,RESIDENCE UNDER CONSTRT, FORCIBLE ENTRY"
200,3511.0,Drug/Narcotics,TRANSPORTATION OF METH-AMPHETAMINE
201,3640.0,Violence/Homicide,AGGRAVATED ASSAULT WITH A GUN
202,3692.0,Larceny/Theft,"ROBBERY,  ATM, KNIFE"
203,3720.0,Traffic Violation,RECKLESS DRIVING
204,3745.0,Larceny/Theft,"BURGLARY,HOTEL UNDER CONSTRUCTION, FORCIBLE ENTRY"
205,3857.0,Drug/Narcotics,SALE OF HEROIN
206,3904.0,Violence/Homicide,ASSAULT
207,3961.0,Larceny/Theft,ATTEMPTED THEFT OF A BICYCLE
208,4031.0,Violence/Homicide,CARRYING OF CONCEALED WEAPON BY CONVICTED FELON
209,4187.0,Violence/Homicide,"WEAPON, ASSAULT, REGISTRATION OR TRANSFER VIOLATION"
210,4375.0,Violence/Homicide,"DISTURBING THE PEACE, FIGHTING"
211,4498.0,Larceny/Theft,"STOLEN CELLULAR PHONE, NON-CLONED, POSSESSION"
212,4552.0,Violence/Homicide,"AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE"
213,4655.0,Traffic Violation,"TRAFFIC COLLISION, HIT & RUN, PROPERTY DAMAGE"
214,4782.0,Larceny/Theft,ATTEMPTED SHOPLIFTING
215,4803.0,Drug/Narcotics,TRANSPORTATION OF MARIJUANA
216,4818.0,Violence/Homicide,"FIREARM, NEGLIGENT DISCHARGE"
217,4821.0,Violence/Homicide,"FIREARM, CARRYING LOADED WITH INTENT TO COMMIT FELONY"
218,4832.0,Larceny/Theft,"BURGLARY, HOT PROWL, ATTEMPTED FORCIBLE ENTRY"
219,4887.0,Larceny/Theft,ATTEMPTED STOLEN VEHICLE
220,4910.0,Sex Offences,UNLAWFUL SEXUAL INTERCOURSE
221,4999.0,Violence/Homicide,ATTEMPTED MAYHEM WITH A DEADLY WEAPON
222,5038.0,Larceny/Theft,GRAND THEFT AUTO STRIP
223,5163.0,Violence/Homicide,LOITERING WHILE CARRYING CONCEALED WEAPON
224,5190.0,Larceny/Theft,"BURGLARY OF FLAT, FORCIBLE ENTRY"
225,5205.0,Larceny/Theft,"BURGLARY, ATTEMPTED FORCIBLE ENTRY"
226,5208.0,Drug/Narcotics,SALE OF METH-AMPHETAMINE
227,5236.0,Sex Offences,ANNOY OR MOLEST CHILDREN
228,5250.0,Larceny/Theft,"SHOPLIFTING, FORCE AGAINST AGENT"
229,5375.0,Sex Offences,"CHILD ABUSE, EXPLOITATION"
230,5383.0,Larceny/Theft,GRAND THEFT BY PROSTITUTE
231,5404.0,Sex Offences,"PENETRATION, FORCED, WITH OBJECT"
232,5510.0,Sex Offences,"FORCIBLE RAPE, ARMED WITH A SHARP INSTRUMENT"
233,5537.0,Violence/Homicide,MAYHEM WITH BODILY FORCE
234,5616.0,Larceny/Theft,"STOLEN ACCESS CARD, POSSESSION"
235,5684.0,Larceny/Theft,ROBBERY OF A RESIDENCE WITH A GUN
236,5788.0,Larceny/Theft,"BURGLARY,BLDG. UNDER CONSTRUCTION, UNLAWFUL ENTRY"
237,5894.0,Drug/Narcotics,FORGE OR ALTER PRESCRIPTION
238,5904.0,Larceny/Theft,PETTY THEFT COIN OPERATED MACHINE
239,5931.0,Larceny/Theft,ATTEMPTED GRAND THEFT FROM PERSON
240,6314.0,Larceny/Theft,ATTEMPTED PETTY THEFT OF PROPERTY
241,6330.0,Larceny/Theft,"VEHICLE, RECOVERED, MOTORCYCLE"
242,6473.0,Sex Offences,ENGAGING IN LEWD ACT
243,6559.0,Violence/Homicide,THREAT TO STATE OFFICIAL OR JUDGE
244,6637.0,Larceny/Theft,ATTEMPTED ROBBERY RESIDENCE WITH A KNIFE
245,6641.0,Violence/Homicide,"FIREARM, DISCHARGING IN GROSSLY NEGLIGENT MANNER"
246,6642.0,Larceny/Theft,"BURGLARY OF FLAT, ATTEMPTED FORCIBLE ENTRY"
247,6886.0,Larceny/Theft,CARJACKING WITH A GUN
248,6909.0,Violence/Homicide,ARSON OF A COMMERCIAL BUILDING
249,6925.0,Mental Health/Bullying,ATTEMPTED SUICIDE
250,6967.0,Larceny/Theft,ATTEMPTED ROBBERY ON THE STREET WITH A GUN
251,7051.0,Mental Health/Bullying,"CASH DISPENSING MACHINES (ATM), LOITERING PROHIBI"
252,7160.0,Drug/Narcotics,SALE OF MARIJUANA
253,7414.0,Larceny/Theft,ROBBERY OF A CHAIN STORE WITH A DANGEROUS WEAPON
254,7570.0,Sex Offences,"ATTEMPTED RAPE, BODILY FORCE"
255,7698.0,Violence/Homicide,MAINTAINING A PUBLIC NUISANCE AFTER NOTIFICATION
256,7798.0,Drug/Narcotics,POSSESSION OF HALLUCINOGENIC FOR SALES
257,7930.0,Traffic Violation,"DRIVING WHILE UNDER THE INFLUENCE OF DRUGS, W/INJURY"
258,7933.0,Larceny/Theft,ATTEMPTED ROBBERY WITH A KNIFE
259,7977.0,Larceny/Theft,ROBBERY OF A CHAIN STORE WITH A GUN
260,8097.0,Larceny/Theft,POSSESSION OF BURGLARY TOOLS W/PRIORS
261,8129.0,Larceny/Theft,"THEFT, GRAND, OF FIREARM"
262,8258.0,Violence/Homicide,"WEAPON, POSSESSING IN PUBLIC BUILDING OR OPEN MEETING"
263,8354.0,Sex Offences,ORAL COPULATION
264,8366.0,Larceny/Theft,ATTEMPTED ROBBERY COMM. ESTABLISHMENT WITH A GUN
265,8369.0,Larceny/Theft,THEFT OF ANIMALS (GENERAL)
266,8709.0,Larceny/Theft,ROBBERY OF A RESIDENCE WITH BODILY FORCE
267,8836.0,Larceny/Theft,RECEIVING STOLEN PROPERTY
268,8847.0,Traffic Violation,"DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL, W/INJURY"
269,8949.0,Violence/Homicide,ATTEMPTED ARSON
270,8969.0,Violence/Homicide,POSS OF DEADLY WEAPON WITH INTENT TO ASSAULT
271,9017.0,Larceny/Theft,ATTEMPTED ROBBERY COMM. ESTABLISHMENT W/KNIFE
272,9419.0,Larceny/Theft,ROBBERY OF A BANK WITH A DANGEROUS WEAPON
273,9881.0,Larceny/Theft,ATTEMPTED ROBBERY RESIDENCE WITH A GUN
274,9945.0,Drug/Narcotics,POSSESSION OF OPIATES
275,10343.0,Violence/Homicide,POSSESSION OF EXPLOSIVE DEVICE
276,10576.0,Violence/Homicide,"ASSAULT, AGGRAVATED, ON POLICE OFFICER, W/ GUN"
277,10635.0,Mental Health/Bullying,ATTEMPTED SUICIDE BY LACERATION
278,10649.0,Drug/Narcotics,ENCOURAGING MINOR TO USE MARIJUANA
279,10663.0,Violence/Homicide,"FIRE, UNLAWFULLY CAUSING"
280,10806.0,Larceny/Theft,"BURGLARY OF WAREHOUSE, UNLAWFUL ENTRY"
281,10818.0,Larceny/Theft,"BURGLARY OF WAREHOUSE, FORCIBLE ENTRY"
282,10895.0,Larceny/Theft,ATTEMPTED ROBBERY OF A BANK WITH A DEADLY WEAPON
283,11153.0,Sex Offences,"RAPE, SPOUSAL"
284,11363.0,Drug/Narcotics,"HYPODERMIC NEEDLE OR SYRINGE, POSSESSION"
285,12051.0,Mental Health/Bullying,ATTEMPTED SUICIDE BY JUMPING
286,12083.0,Violence/Homicide,"WEAPON, DEADLY, CARRYING WITH INTENT TO COMMIT ASSAULT"
287,12272.0,Larceny/Theft,GRAND THEFT PURSESNATCH
288,12319.0,Sex Offences,"SEXUAL ASSAULT, AGGRAVATED, OF CHILD"
289,12366.0,Larceny/Theft,CARJACKING WITH A KNIFE
290,12422.0,Larceny/Theft,"BURGLARY OF STORE, ATTEMPTED FORCIBLE ENTRY"
291,12649.0,Larceny/Theft,"BURGLARY, VEHICLE, ATT. (ARREST MADE)"
292,12665.0,Drug/Narcotics,POSSESSION OF ALCOHOL BY MINOR
293,12868.0,Violence/Homicide,"RESISTING PEACE OFFICER, CAUSING THEIR SERIOUS INJURY OR DEATH"
294,12889.0,Sex Offences,"SEXUAL ASSAULT, ADMINISTERING DRUG TO COMMIT"
295,13019.0,Larceny/Theft,THEFT OF UTILITY SERVICES
296,13039.0,Larceny/Theft,"BURGLARY,APT UNDER CONSTRUCTION, FORCIBLE ENTRY"
297,13078.0,Larceny/Theft,ATTEMPTED ROBBERY OF A BANK WITH BODILY FORCE
298,13107.0,Kidnapping,"ATTEMPTED KIDNAPPING, ADULT VICTIM"
299,13500.0,Larceny/Theft,ROBBERY OF A COMMERCIAL ESTABLISHMENT W/ A KNIFE
300,13765.0,Kidnapping,"ATTEMPTED KIDNAPPING, JUVENILE VICTIM"
301,14062.0,Violence/Homicide,"SWITCHBLADE KNIFE, POSSESSION"
302,14450.0,Larceny/Theft,"THEFT, BICYCLE, <$50, NO SERIAL NUMBER"
303,14755.0,Larceny/Theft,"THEFT, DRUNK ROLL, >$400"
304,14757.0,Violence/Homicide,"FLAMMABLE OR EXPLOSIVE DEVICE, POSSESSION"
305,14903.0,Drug/Narcotics,POSSESSION OF AMPHETAMINE FOR SALES
306,14989.0,Larceny/Theft,SAFE BURGLARY
307,15055.0,Drug/Narcotics,TRANSPORTATION OF HEROIN
308,15592.0,Larceny/Theft,THEFT OF WRITTEN INSTRUMENT
309,16033.0,Larceny/Theft,SAFE BURGLARY OF A HOTEL
310,16233.0,Larceny/Theft,"BURGLARY,WAREHOUSE UNDER CONSTRT, FORCIBLE ENTRY"
311,16589.0,Drug/Narcotics,"PRESCRIPTION, FORGE OR ALTER (4390 B&P)"
312,16638.0,Larceny/Theft,ROBBERY OF A COMMERCIAL ESTABLISHMENT W/ WEAPON
313,17201.0,Violence/Homicide,WILLFUL CRUELTY TO CHILD
314,17585.0,Larceny/Theft,CARJACKING WITH BODILY FORCE
315,17984.0,Mental Health/Bullying,SUICIDE BY STRANGULATION
316,18187.0,Larceny/Theft,ROBBERY OF A BANK WITH A GUN
317,18559.0,Violence/Homicide,ARSON OF A VACANT BUILDING
318,19076.0,Larceny/Theft,PETTY THEFT MOTORCYCLE STRIP
319,19242.0,Larceny/Theft,"THEFT, BICYCLE, <$50, SERIAL NUMBER KNOWN"
320,19342.0,Larceny/Theft,ROBBERY OF A RESIDENCE WITH A KNIFE
321,20624.0,Sex Offences,"FORCIBLE RAPE, ARMED WITH A DANGEROUS WEAPON"
322,20790.0,Drug/Narcotics,FAILURE TO REGISTER AS NARCOTICS ADDICT
323,21531.0,Violence/Homicide,POSSESSION OF CAUSTIC CHEMICAL
324,21636.0,Drug/Narcotics,POSSESSION OF METHADONE FOR SALES
325,22058.0,Mental Health/Bullying,BEGGING
326,22848.0,Drug/Narcotics,TRANSPORTAION OF CONTROLLED SUBSTANCE
327,23836.0,Drug/Narcotics,POSSESSION OF HALLUCINOGENIC
328,23998.0,Drug/Narcotics,POSSESSION OF AMPHETAMINE
329,23999.0,Drug/Narcotics,TRANSPORTATION OF AMPHETAMINE
330,24513.0,Sex Offences,ATTEMPTED RAPE WITH A GUN
331,24647.0,Drug/Narcotics,POSSESSION OF OPIUM DERIVATIVE
332,25798.0,Mental Health/Bullying,LOITERING
333,26561.0,Violence/Homicide,ATTEMPTED HOMICIDE WITH A DANGEROUS WEAPON
334,26564.0,Larceny/Theft,ATTEMPTED GRAND THEFT PICKPOCKET
335,28399.0,Larceny/Theft,ATTEMPTED ROBBERY ON THE STREET WITH A KNIFE
336,28561.0,Violence/Homicide,DESTRUCTION OF PROPERTY WITH EXPLOSIVES
337,28975.0,Mental Health/Bullying,REFUSING TO DISPERSE UPON LAWFUL COMMAND
338,31525.0,Larceny/Theft,GRAND THEFT COIN OPERATED MACHINE
339,35625.0,Mental Health/Bullying,SUICIDE BY FIREARMS
340,38495.0,Drug/Narcotics,SALE OF BARBITUATES
341,39073.0,Drug/Narcotics,UNDER THE INFLUENCE OF CONTROLLED SUBSTANCES
342,41974.0,Sex Offences,"FORCIBLE RAPE, ARMED WITH A GUN"
343,41975.0,Sex Offences,ASSAULT TO RAPE WITH A GUN
344,42392.0,Violence/Homicide,MAYHEM WITH A GUN
345,43068.0,Violence/Homicide,AGGRAVATED ASSAULT ON POLICE OFFICER WITH A KNIFE
346,44440.0,Drug/Narcotics,SALE OF OPIATES
347,44529.0,Violence/Homicide,MAYHEM WITH A DEADLY WEAPON
