,category,message
2253,Drug/Narcotics,SALE OF COCAINE
2254,Drug/Narcotics,TRANSPORTATION OF COCAINE
2329,Larceny/Theft,ROBBERY ON THE STREET WITH A DANGEROUS WEAPON
2387,Larceny/Theft,"STOLEN ELECTRONICS, POSSESSION"
2402,Larceny/Theft,ROBBERY OF A BANK WITH BODILY FORCE
2437,Drug/Narcotics,CONSUMING ALCOHOL IN PUBLIC VIEW
2609,Sex Offences,ASSAULT TO RAPE WITH BODILY FORCE
2636,Larceny/Theft,ROBBERY OF A CHAIN STORE WITH A KNIFE
2716,Larceny/Theft,EMBEZZLEMENT FROM DEPENDENT OR ELDER ADULT BY CARETAKER
2733,Violence/Homicide,ATTEMPTED SIMPLE ASSAULT
2758,Larceny/Theft,"BURGLARY,APT UNDER CONSTRUCTION, UNLAWFUL ENTRY"
2760,Violence/Homicide,"WEAPON, ASSAULT, POSSESSION, MANUFACTURE, OR SALE"
2769,Violence/Homicide,"DISTURBING THE PEACE, SWEARING"
3053,Larceny/Theft,"STOLEN CHECKS, POSSESSION"
3066,Drug/Narcotics,PLANTING/CULTIVATING MARIJUANA
3090,Larceny/Theft,"BURGLARY OF HOTEL ROOM, UNLAWFUL ENTRY"
3140,Kidnapping,KIDNAPPING DURING ROBBERY
3189,Larceny/Theft,"LOST PROPERTY, GRAND THEFT"
3208,Larceny/Theft,ATTEMPTED ROBBERY COMM. ESTAB. WITH BODILY FORCE
3250,Drug/Narcotics,POSSESSION OF CONTROLLED SUBSTANCE FOR SALE
3254,Kidnapping,"KIDNAPPING, ADULT VICTIM"
3288,Larceny/Theft,"STOLEN COMPUTER, POSSESSION"
3292,Drug/Narcotics,SALE OF CONTROLLED SUBSTANCE
3308,Violence/Homicide,PREJUDICE-BASED INCIDENT
3312,Violence/Homicide,DISCHARGE FIREARM AT AN INHABITED DWELLING
3365,Drug/Narcotics,UNDER INFLUENCE OF DRUGS IN A PUBLIC PLACE
3393,Violence/Homicide,MAINTAINING A PUBLIC NUISANCE
3411,Larceny/Theft,"BURGLARY,HOTEL UNDER CONSTRUCTION, UNLAWFUL ENTRY"
3413,Drug/Narcotics,MAINTAINING PREMISE WHERE NARCOTICS ARE SOLD/USED
3487,Larceny/Theft,"BURGLARY,RESIDENCE UNDER CONSTRT, FORCIBLE ENTRY"
3511,Drug/Narcotics,TRANSPORTATION OF METH-AMPHETAMINE
3640,Violence/Homicide,AGGRAVATED ASSAULT WITH A GUN
3692,Larceny/Theft,"ROBBERY,  ATM, KNIFE"
3720,Traffic Violation,RECKLESS DRIVING
3745,Larceny/Theft,"BURGLARY,HOTEL UNDER CONSTRUCTION, FORCIBLE ENTRY"
3857,Drug/Narcotics,SALE OF HEROIN
3904,Violence/Homicide,ASSAULT
3961,Larceny/Theft,ATTEMPTED THEFT OF A BICYCLE
4031,Violence/Homicide,CARRYING OF CONCEALED WEAPON BY CONVICTED FELON
4187,Violence/Homicide,"WEAPON, ASSAULT, REGISTRATION OR TRANSFER VIOLATION"
4375,Violence/Homicide,"DISTURBING THE PEACE, FIGHTING"
4498,Larceny/Theft,"STOLEN CELLULAR PHONE, NON-CLONED, POSSESSION"
4552,Violence/Homicide,"AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE"
4655,Traffic Violation,"TRAFFIC COLLISION, HIT & RUN, PROPERTY DAMAGE"
4782,Larceny/Theft,ATTEMPTED SHOPLIFTING
4803,Drug/Narcotics,TRANSPORTATION OF MARIJUANA
4818,Violence/Homicide,"FIREARM, NEGLIGENT DISCHARGE"
4821,Violence/Homicide,"FIREARM, CARRYING LOADED WITH INTENT TO COMMIT FELONY"
4832,Larceny/Theft,"BURGLARY, HOT PROWL, ATTEMPTED FORCIBLE ENTRY"
4887,Larceny/Theft,ATTEMPTED STOLEN VEHICLE
4910,Sex Offences,UNLAWFUL SEXUAL INTERCOURSE
4999,Violence/Homicide,ATTEMPTED MAYHEM WITH A DEADLY WEAPON
5038,Larceny/Theft,GRAND THEFT AUTO STRIP
5163,Violence/Homicide,LOITERING WHILE CARRYING CONCEALED WEAPON
5190,Larceny/Theft,"BURGLARY OF FLAT, FORCIBLE ENTRY"
5205,Larceny/Theft,"BURGLARY, ATTEMPTED FORCIBLE ENTRY"
5208,Drug/Narcotics,SALE OF METH-AMPHETAMINE
5236,Sex Offences,ANNOY OR MOLEST CHILDREN
5250,Larceny/Theft,"SHOPLIFTING, FORCE AGAINST AGENT"
5375,Sex Offences,"CHILD ABUSE, EXPLOITATION"
5383,Larceny/Theft,GRAND THEFT BY PROSTITUTE
5404,Sex Offences,"PENETRATION, FORCED, WITH OBJECT"
5510,Sex Offences,"FORCIBLE RAPE, ARMED WITH A SHARP INSTRUMENT"
5537,Violence/Homicide,MAYHEM WITH BODILY FORCE
5616,Larceny/Theft,"STOLEN ACCESS CARD, POSSESSION"
5684,Larceny/Theft,ROBBERY OF A RESIDENCE WITH A GUN
5788,Larceny/Theft,"BURGLARY,BLDG. UNDER CONSTRUCTION, UNLAWFUL ENTRY"
5894,Drug/Narcotics,FORGE OR ALTER PRESCRIPTION
5904,Larceny/Theft,PETTY THEFT COIN OPERATED MACHINE
5931,Larceny/Theft,ATTEMPTED GRAND THEFT FROM PERSON
6314,Larceny/Theft,ATTEMPTED PETTY THEFT OF PROPERTY
6330,Larceny/Theft,"VEHICLE, RECOVERED, MOTORCYCLE"
6473,Sex Offences,ENGAGING IN LEWD ACT
6559,Violence/Homicide,THREAT TO STATE OFFICIAL OR JUDGE
6637,Larceny/Theft,ATTEMPTED ROBBERY RESIDENCE WITH A KNIFE
6641,Violence/Homicide,"FIREARM, DISCHARGING IN GROSSLY NEGLIGENT MANNER"
6642,Larceny/Theft,"BURGLARY OF FLAT, ATTEMPTED FORCIBLE ENTRY"
6886,Larceny/Theft,CARJACKING WITH A GUN
6909,Violence/Homicide,ARSON OF A COMMERCIAL BUILDING
6925,Mental Health/Bullying,ATTEMPTED SUICIDE
6967,Larceny/Theft,ATTEMPTED ROBBERY ON THE STREET WITH A GUN
7051,Mental Health/Bullying,"CASH DISPENSING MACHINES (ATM), LOITERING PROHIBI"
7160,Drug/Narcotics,SALE OF MARIJUANA
7414,Larceny/Theft,ROBBERY OF A CHAIN STORE WITH A DANGEROUS WEAPON
7570,Sex Offences,"ATTEMPTED RAPE, BODILY FORCE"
7698,Violence/Homicide,MAINTAINING A PUBLIC NUISANCE AFTER NOTIFICATION
7798,Drug/Narcotics,POSSESSION OF HALLUCINOGENIC FOR SALES
7930,Traffic Violation,"DRIVING WHILE UNDER THE INFLUENCE OF DRUGS, W/INJURY"
7933,Larceny/Theft,ATTEMPTED ROBBERY WITH A KNIFE
7977,Larceny/Theft,ROBBERY OF A CHAIN STORE WITH A GUN
8097,Larceny/Theft,POSSESSION OF BURGLARY TOOLS W/PRIORS
8129,Larceny/Theft,"THEFT, GRAND, OF FIREARM"
8258,Violence/Homicide,"WEAPON, POSSESSING IN PUBLIC BUILDING OR OPEN MEETING"
8354,Sex Offences,ORAL COPULATION
8366,Larceny/Theft,ATTEMPTED ROBBERY COMM. ESTABLISHMENT WITH A GUN
8369,Larceny/Theft,THEFT OF ANIMALS (GENERAL)
8709,Larceny/Theft,ROBBERY OF A RESIDENCE WITH BODILY FORCE
8836,Larceny/Theft,RECEIVING STOLEN PROPERTY
8847,Traffic Violation,"DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL, W/INJURY"
8949,Violence/Homicide,ATTEMPTED ARSON
8969,Violence/Homicide,POSS OF DEADLY WEAPON WITH INTENT TO ASSAULT
9017,Larceny/Theft,ATTEMPTED ROBBERY COMM. ESTABLISHMENT W/KNIFE
9419,Larceny/Theft,ROBBERY OF A BANK WITH A DANGEROUS WEAPON
9881,Larceny/Theft,ATTEMPTED ROBBERY RESIDENCE WITH A GUN
9945,Drug/Narcotics,POSSESSION OF OPIATES
10343,Violence/Homicide,POSSESSION OF EXPLOSIVE DEVICE
10576,Violence/Homicide,"ASSAULT, AGGRAVATED, ON POLICE OFFICER, W/ GUN"
10635,Mental Health/Bullying,ATTEMPTED SUICIDE BY LACERATION
10649,Drug/Narcotics,ENCOURAGING MINOR TO USE MARIJUANA
10663,Violence/Homicide,"FIRE, UNLAWFULLY CAUSING"
10806,Larceny/Theft,"BURGLARY OF WAREHOUSE, UNLAWFUL ENTRY"
10818,Larceny/Theft,"BURGLARY OF WAREHOUSE, FORCIBLE ENTRY"
10895,Larceny/Theft,ATTEMPTED ROBBERY OF A BANK WITH A DEADLY WEAPON
11153,Sex Offences,"RAPE, SPOUSAL"
11363,Drug/Narcotics,"HYPODERMIC NEEDLE OR SYRINGE, POSSESSION"
12051,Mental Health/Bullying,ATTEMPTED SUICIDE BY JUMPING
12083,Violence/Homicide,"WEAPON, DEADLY, CARRYING WITH INTENT TO COMMIT ASSAULT"
12272,Larceny/Theft,GRAND THEFT PURSESNATCH
12319,Sex Offences,"SEXUAL ASSAULT, AGGRAVATED, OF CHILD"
12366,Larceny/Theft,CARJACKING WITH A KNIFE
12422,Larceny/Theft,"BURGLARY OF STORE, ATTEMPTED FORCIBLE ENTRY"
12649,Larceny/Theft,"BURGLARY, VEHICLE, ATT. (ARREST MADE)"
12665,Drug/Narcotics,POSSESSION OF ALCOHOL BY MINOR
12868,Violence/Homicide,"RESISTING PEACE OFFICER, CAUSING THEIR SERIOUS INJURY OR DEATH"
12889,Sex Offences,"SEXUAL ASSAULT, ADMINISTERING DRUG TO COMMIT"
13019,Larceny/Theft,THEFT OF UTILITY SERVICES
13039,Larceny/Theft,"BURGLARY,APT UNDER CONSTRUCTION, FORCIBLE ENTRY"
13078,Larceny/Theft,ATTEMPTED ROBBERY OF A BANK WITH BODILY FORCE
13107,Kidnapping,"ATTEMPTED KIDNAPPING, ADULT VICTIM"
13500,Larceny/Theft,ROBBERY OF A COMMERCIAL ESTABLISHMENT W/ A KNIFE
13765,Kidnapping,"ATTEMPTED KIDNAPPING, JUVENILE VICTIM"
14062,Violence/Homicide,"SWITCHBLADE KNIFE, POSSESSION"
14450,Larceny/Theft,"THEFT, BICYCLE, <$50, NO SERIAL NUMBER"
14755,Larceny/Theft,"THEFT, DRUNK ROLL, >$400"
14757,Violence/Homicide,"FLAMMABLE OR EXPLOSIVE DEVICE, POSSESSION"
14903,Drug/Narcotics,POSSESSION OF AMPHETAMINE FOR SALES
14989,Larceny/Theft,SAFE BURGLARY
15055,Drug/Narcotics,TRANSPORTATION OF HEROIN
15592,Larceny/Theft,THEFT OF WRITTEN INSTRUMENT
16033,Larceny/Theft,SAFE BURGLARY OF A HOTEL
16233,Larceny/Theft,"BURGLARY,WAREHOUSE UNDER CONSTRT, FORCIBLE ENTRY"
16589,Drug/Narcotics,"PRESCRIPTION, FORGE OR ALTER (4390 B&P)"
16638,Larceny/Theft,ROBBERY OF A COMMERCIAL ESTABLISHMENT W/ WEAPON
17201,Violence/Homicide,WILLFUL CRUELTY TO CHILD
17585,Larceny/Theft,CARJACKING WITH BODILY FORCE
17984,Mental Health/Bullying,SUICIDE BY STRANGULATION
18187,Larceny/Theft,ROBBERY OF A BANK WITH A GUN
18559,Violence/Homicide,ARSON OF A VACANT BUILDING
19076,Larceny/Theft,PETTY THEFT MOTORCYCLE STRIP
19242,Larceny/Theft,"THEFT, BICYCLE, <$50, SERIAL NUMBER KNOWN"
19342,Larceny/Theft,ROBBERY OF A RESIDENCE WITH A KNIFE
20624,Sex Offences,"FORCIBLE RAPE, ARMED WITH A DANGEROUS WEAPON"
20790,Drug/Narcotics,FAILURE TO REGISTER AS NARCOTICS ADDICT
21531,Violence/Homicide,POSSESSION OF CAUSTIC CHEMICAL
21636,Drug/Narcotics,POSSESSION OF METHADONE FOR SALES
22058,Mental Health/Bullying,BEGGING
22848,Drug/Narcotics,TRANSPORTAION OF CONTROLLED SUBSTANCE
23836,Drug/Narcotics,POSSESSION OF HALLUCINOGENIC
23998,Drug/Narcotics,POSSESSION OF AMPHETAMINE
23999,Drug/Narcotics,TRANSPORTATION OF AMPHETAMINE
24513,Sex Offences,ATTEMPTED RAPE WITH A GUN
24647,Drug/Narcotics,POSSESSION OF OPIUM DERIVATIVE
25798,Mental Health/Bullying,LOITERING
26561,Violence/Homicide,ATTEMPTED HOMICIDE WITH A DANGEROUS WEAPON
26564,Larceny/Theft,ATTEMPTED GRAND THEFT PICKPOCKET
28399,Larceny/Theft,ATTEMPTED ROBBERY ON THE STREET WITH A KNIFE
28561,Violence/Homicide,DESTRUCTION OF PROPERTY WITH EXPLOSIVES
28975,Mental Health/Bullying,REFUSING TO DISPERSE UPON LAWFUL COMMAND
31525,Larceny/Theft,GRAND THEFT COIN OPERATED MACHINE
35625,Mental Health/Bullying,SUICIDE BY FIREARMS
38495,Drug/Narcotics,SALE OF BARBITUATES
39073,Drug/Narcotics,UNDER THE INFLUENCE OF CONTROLLED SUBSTANCES
41974,Sex Offences,"FORCIBLE RAPE, ARMED WITH A GUN"
41975,Sex Offences,ASSAULT TO RAPE WITH A GUN
42392,Violence/Homicide,MAYHEM WITH A GUN
43068,Violence/Homicide,AGGRAVATED ASSAULT ON POLICE OFFICER WITH A KNIFE
44440,Drug/Narcotics,SALE OF OPIATES
44529,Violence/Homicide,MAYHEM WITH A DEADLY WEAPON
45882,Larceny/Theft,ATTEMPTED ROBBERY RESIDENCE WITH BODILY FORCE
47690,Larceny/Theft,GRAND THEFT MOTORCYCLE STRIP
48246,Larceny/Theft,ROBBERY OF A SERVICE STATION WITH A GUN
48248,Larceny/Theft,ATTEMPTED ROBBERY SERVICE STATION WITH A KNIFE
49522,Drug/Narcotics,FURNISHING MARIJUANA
51098,Mental Health/Bullying,LOITERING ABOUT SCHOOL/PLAYGROUND
56333,Mental Health/Bullying,UNLAWFUL ASSEMBLY
56887,Drug/Narcotics,TRANSPORTATION OF OPIATES
60086,Larceny/Theft,ATTEMPTED ROBBERY CHAIN STORE WITH A KNIFE
60336,Larceny/Theft,"VEHICLE, RENTAL, FAILURE TO RETURN"
60429,Sex Offences,ASSAULT TO RAPE WITH A DANGEROUS WEAPON
60874,Larceny/Theft,"VEHICLE, RECOVERED, CAMPER-HOUSE CAR-MOTOR HOME"
62583,Larceny/Theft,ATTEMPTED ROBBERY COMM. ESTAB. WITH DEADLY WEAPON
62767,Drug/Narcotics,FALSE EVIDENCE OF AGE BY MINOR
62768,Drug/Narcotics,MINOR ON ON-SALE LICENSED PREMISE
62950,Larceny/Theft,ROBBERY OF A RESIDENCE WITH A DANGEROUS WEAPON
63199,Larceny/Theft,"BURGLARY,RESIDENCE UNDER CONSTRT, ATT. FORCIBLE"
63430,Violence/Homicide,UNLAWFUL DISSUADING/THREATENING OF A WITNESS
64219,Larceny/Theft,SAFE BURGLARY OF A STORE
64314,Larceny/Theft,ATTEMPTED ROBBERY OF A BANK WITH A GUN
65484,Larceny/Theft,"BURGLARY,FLAT UNDER CONSTRUCTION, UNLAWFUL ENTRY"
68076,Mental Health/Bullying,SUICIDE
69609,Larceny/Theft,ROBBERY OF A SERVICE STATION WITH BODILY FORCE
69756,Drug/Narcotics,POSSESSION OF OPIUM
70308,Larceny/Theft,SAFE BURGLARY OF A WAREHOUSE
70508,Mental Health/Bullying,ATTEMPTED SUICIDE BY INGESTION
70727,Drug/Narcotics,SALE OF ALCOHOL AFTER HOURS
72499,Violence/Homicide,THREATS TO SCHOOL TEACHERS
72862,Violence/Homicide,ATTEMPTED MAYHEM WITH BODILY FORCE
73590,Mental Health/Bullying,SUICIDE BY JUMPING
73704,Larceny/Theft,ATTEMPTED THEFT COIN OPERATED MACHINE
74458,Larceny/Theft,ROBBERY OF A BANK WITH A KNIFE
75313,Violence/Homicide,ASSAULT BY POLICE OFFICER
75895,Violence/Homicide,WEAPONS POSSESSION BY JUVENILE SUSPECT
75907,Violence/Homicide,ILLEGAL TRANSPORTAION OF EXPLOSIVES
76144,Violence/Homicide,ATTEMPTED MAYHEM WITH A KNIFE
78325,Violence/Homicide,MAYHEM WITH A KNIFE
78624,Drug/Narcotics,SALE OF METHADONE
